customer_id,payment_frequency,close_date,start_date,end_date,months_since_active,last_reply_date,plan_name,billings,average_monthly_revenue,advanced_api_access,api_rate_limit_increase,advanced_security
CUST0001,Monthly,02-22-2013,02-23-2013,09-01-2025,150,08-03-2025,Free,$0,$0.00,0,0,0
CUST0002,Annually,03-17-2015,03-18-2015,09-01-2025,125,08-05-2025,Plus,$417,$3.34,0,0,0
CUST0003,Monthly,07-19-2012,07-20-2012,09-01-2025,157,08-05-2025,Standard,$65,$0.41,0,0,0
CUST0004,Annually,10-20-2012,10-21-2012,09-01-2025,154,08-05-2025,Plus,$75,$0.49,0,0,0
CUST0005,Annually,07-19-2013,07-20-2013,09-01-2025,145,08-05-2025,Standard,$29,$0.20,0,0,0
CUST0006,Annually,06-07-2013,06-08-2013,12-31-2024,138,11-17-2024,Standard,$23,$0.17,0,0,0
CUST0007,Annually,07-07-2013,07-08-2013,09-01-2025,145,08-05-2025,Pro,"$1,036",$7.14,0,0,0
CUST0008,Annually,01-07-2014,01-08-2014,09-01-2025,139,08-05-2025,Pro,"$9,625",$69.24,0,0,0
CUST0009,Monthly,08-13-2013,08-14-2013,09-01-2025,144,08-05-2025,Plus,"$2,638",$18.32,0,0,0
CUST0010,Monthly,09-12-2013,09-13-2013,09-01-2025,143,08-05-2025,Plus,"$1,093",$7.64,0,0,0
CUST0011,Annually,08-21-2013,08-22-2013,09-01-2025,144,08-05-2025,Plus,$129,$0.90,0,0,0
CUST0012,Annually,08-21-2013,08-22-2013,09-01-2025,144,08-05-2025,Standard,$157,$1.09,0,0,0
CUST0013,Monthly,08-19-2014,08-20-2014,09-01-2025,132,08-05-2025,Plus,$83,$0.63,0,0,0
CUST0014,Annually,09-18-2013,09-19-2013,09-01-2025,143,08-05-2025,Plus,$999,$6.99,0,0,0
CUST0015,Annually,11-20-2014,11-21-2014,09-01-2025,129,08-05-2025,Standard,$232,$1.80,0,0,0
CUST0016,Annually,09-07-2013,09-08-2013,09-01-2025,143,08-05-2025,Standard,$109,$0.76,0,0,0
CUST0017,Annually,06-25-2015,06-26-2015,09-01-2025,122,08-05-2025,Plus,$254,$2.08,0,0,0
CUST0018,Annually,02-09-2016,02-10-2016,09-01-2025,114,08-06-2025,Plus,"$6,500",$57.02,0,0,0
CUST0019,Monthly,11-13-2013,11-14-2013,09-01-2025,141,08-05-2025,Plus,$196,$1.39,0,0,0
CUST0020,Monthly,12-03-2013,12-04-2013,09-01-2025,140,08-05-2025,Plus,$100,$0.71,0,0,0
CUST0021,Annually,12-11-2013,12-12-2013,09-01-2025,140,08-05-2025,Standard,$50,$0.36,0,0,0
CUST0022,Annually,01-10-2014,01-11-2014,09-01-2025,139,08-05-2025,Plus,$579,$4.17,0,0,0
CUST0023,Annually,02-23-2014,02-24-2014,09-01-2025,138,08-05-2025,Plus,$183,$1.33,0,0,0
CUST0024,Monthly,03-06-2014,03-07-2014,07-30-2025,136,07-30-2025,Plus,$83,$0.61,0,0,0
CUST0025,Annually,03-06-2014,03-07-2014,09-01-2025,137,08-05-2025,Standard,$603,$4.40,0,0,0
CUST0026,Monthly,04-12-2014,04-13-2014,09-01-2025,136,08-05-2025,Standard,$55,$0.40,0,0,0
CUST0027,Annually,04-23-2014,04-24-2014,09-01-2025,136,08-06-2025,Standard,$276,$2.03,0,0,0
CUST0028,Monthly,07-07-2015,07-08-2015,09-01-2025,121,08-05-2025,Standard,$65,$0.54,0,0,0
CUST0029,Annually,05-20-2014,05-21-2014,09-01-2025,135,08-05-2025,Plus,$471,$3.49,0,0,0
